name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
oh-3x_477aac_4/0aaacn,3,0.12241009,0.39494091,0.33466485,1.2742766,1.11973E-8,4.808900000000001E-9,km,[  0.19316168 |  0.07075159   0.19316168 |  0.07075159   0.07075159   0.19316168 ],[  0.68805281 |  0.29311190   0.68805281 |  0.29311190   0.29311190   0.68805281 ],[  9.06783333 | -2.12946667   9.06783333 | -2.12946667  -2.12946667   9.06783333 ],0.01805,0.155081,100,true
oh-3x_2cu_4cun,3,0.54419673,0.47441863,0.92063567,1.5365511,9.308400000000001E-9,4.365000000000001E-9,km,[  0.66967638 |  0.12547965   0.66967638 |  0.12547965   0.12547965   0.66967638 ],[  0.82846279 |  0.35404416   0.82846279 |  0.35404416   0.35404416   0.82846279 ],[  7.66060000 | -1.64780000   7.66060000 | -1.64780000  -1.64780000   7.66060000 ],0.01805,0.155081,100,true
oh-2x_2cu_4cun,2,0.54419673,0.50745072,0.92130055,1.4695486,8.671799999999999E-9,4.7202E-9,km,[  0.66989800 |  0.12570127   0.66989800 ],[  0.82815001 |  0.32069929   0.82815001 ],[  7.35460000 | -1.31720000   7.35460000 ],0.01805,0.155081,100,true
oh-1x_2cu_4cun,1,0.54419673,0.50765639,0.9372077,1.4467817,8.668100000000001E-9,4.9212E-9,km,[  0.67520039 ],[  0.82069816 ],[  7.41913333 ],0.01805,0.155081,100,true
oh-3x_4cu_4cun,3,0.85376372,0.49484991,1.2302027,1.5569817,8.790300000000001E-9,4.2476E-9,km,[  0.97924338 |  0.12547966   0.97924338 |  0.12547966   0.12547966   0.97924338 ],[  0.84889384 |  0.35404393   0.84889384 |  0.35404393   0.35404393   0.84889384 ],[  7.27606667 | -1.51423333   7.27606667 | -1.51423333  -1.51423333   7.27606667 ],0.01805,0.155081,100,true
oh-2x_4cu_4cun,2,0.85376372,0.52788263,1.2308676,1.4899794,8.220499999999999E-9,4.5833E-9,km,[  0.97946501 |  0.12570129   0.97946501 ],[  0.84858155 |  0.32069892   0.84858155 ],[  7.00810000 | -1.21240000   7.00810000 ],0.01805,0.155081,100,true
oh-1x_4cu_4cun,1,0.85376372,0.52808766,1.2467747,1.4672122,8.217199999999999E-9,4.7725E-9,km,[  0.98476738 ],[  0.84112917 ],[  7.06896667 ],0.01805,0.155081,100,true
oh-3x_4cu_2aln,3,0.85376372,0.49484991,1.2384297,1.5601756,8.790300000000001E-9,4.2655E-9,km,[  0.98198571 |  0.12822199   0.98198571 |  0.12822199   0.12822199   0.98198571 ],[  0.84995847 |  0.35510856   0.84995847 |  0.35510856   0.35510856   0.84995847 ],[  7.28203333 | -1.50826667   7.28203333 | -1.50826667  -1.50826667   7.28203333 ],0.01805,0.155081,100,true
oh-3x_477aac_4/0aan,3,0.12241009,0.39494091,0.33466485,1.2742766,1.11973E-8,4.808900000000001E-9,km,[  0.19316168 |  0.07075159   0.19316168 |  0.07075159   0.07075159   0.19316168 ],[  0.68805281 |  0.29311190   0.68805281 |  0.29311190   0.29311190   0.68805281 ],[  9.06783333 | -2.12946667   9.06783333 | -2.12946667  -2.12946667   9.06783333 ],0.01805,0.155081,100,true
oh-3v_477aac_1/0aaacn,3,0.12241009,0.38976119,0.43283087,1.3712104,1.13545E-8,4.7417E-9,km,[  0.22588368 |  0.10347359   0.22588368 |  0.10347359   0.10347359   0.22588368 ],[  0.71691093 |  0.32714974   0.71691093 |  0.32714974   0.32714974   0.71691093 ],[  9.15023333 | -2.20426667   9.15023333 | -2.20426667  -2.20426667   9.15023333 ],0.01805,0.155081,100,true
